datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C1;C2;D;D1_liste;D1_summe_kandidaten;D1_summe_liste_kandidaten;D1_1;D1_2;D1_3;D1_4;D1_5;D1_6;D1_7;D1_8;D1_9;D1_10;D1_11;D1_12;D2_liste;D2_summe_kandidaten;D2_summe_liste_kandidaten;D2_1;D2_2;D2_3;D2_4;D2_5;D2_6;D2_7;D2_8;D2_9;D2_10;D2_11;D2_12;D3_liste;D3_summe_kandidaten;D3_summe_liste_kandidaten;D3_1;D3_2;D3_3;D3_4;D3_5;D3_6;D3_7;D3_8;D3_9;D3_10;D4_liste;D4_summe_kandidaten;D4_summe_liste_kandidaten;D4_1;D4_2;D4_3;D4_4;D4_5;D5_liste;D5_summe_kandidaten;D5_summe_liste_kandidaten;D5_1;D5_2;D5_3;D5_4;D5_5;D5_6;D5_7;D5_8;D5_9;D6_liste;D6_summe_kandidaten;D6_summe_liste_kandidaten;D6_1;D7_liste;D7_summe_kandidaten;D7_summe_liste_kandidaten;D7_1;D7_2;D7_3;D7_4;D7_5;D8_liste;D8_summe_kandidaten;D8_summe_liste_kandidaten;D8_1;D8_2;D9_liste;D9_summe_kandidaten;D9_summe_liste_kandidaten;D9_1;D10_liste;D10_summe_kandidaten;D10_summe_liste_kandidaten;D10_1;D11_liste;D11_summe_kandidaten;D11_summe_liste_kandidaten;D11_1;D11_2
12.09.2021;Stadtratswahl;03403000;1;I - Stadtmitte Nord;22;22;17300;4909;0;22209;12236;4395;110;12126;35859;4435;4558;8993;1868;690;628;190;288;108;234;204;103;46;119;80;2165;2548;4713;772;327;393;66;244;266;198;146;28;79;29;;8877;4749;13626;1252;732;881;421;215;105;317;826;;;2089;1538;3627;683;576;135;144;;923;675;1598;254;89;86;53;9;60;17;107;;464;197;661;197;120;367;487;279;27;18;30;13;302;207;509;151;56;258;158;416;158;;;;;815;414;1229;213;201
12.09.2021;Stadtratswahl;03403000;2;II - Stadtmitte Süd;21;21;15422;4671;0;20093;11173;4051;116;11057;32665;3880;4214;8094;2299;797;290;144;97;83;178;66;43;85;66;66;2392;2997;5389;1284;215;181;158;96;90;347;61;59;98;41;367;6949;3839;10788;1000;1043;363;279;371;235;293;255;;;1658;2052;3710;778;173;891;64;146;1086;988;2074;413;58;116;170;39;42;77;73;;468;219;687;219;87;86;173;31;27;21;7;;242;344;586;120;224;;;;;;;;;756;408;1164;262;146
12.09.2021;Stadtratswahl;03403000;3;III - Nordwest;21;21;17196;4843;0;22039;12223;4218;176;12047;35349;5185;4388;9573;1494;779;590;364;320;101;211;116;134;44;99;136;2887;2758;5645;783;582;198;71;190;154;178;120;58;39;333;52;8471;4085;12556;1228;602;448;543;219;221;453;371;;;1802;1074;2876;395;477;94;108;;1011;690;1701;363;96;63;54;43;71;;;;500;245;745;245;153;143;296;62;12;27;42;;332;206;538;206;;275;136;411;136;;;;;749;259;1008;178;81
12.09.2021;Stadtratswahl;03403000;4;IV - Nordost;24;24;20467;5292;0;25759;14231;4723;224;14007;40842;7263;6561;13824;2047;760;1236;516;475;263;171;337;139;290;228;99;3560;4935;8495;2429;659;775;249;173;202;64;169;132;83;;;7005;3496;10501;801;828;428;347;200;225;112;316;192;47;1309;679;1988;232;264;133;50;;1397;979;2376;287;118;80;102;112;46;78;60;96;700;611;1311;611;167;133;300;45;29;42;17;;253;150;403;78;72;244;89;333;89;0;634;634;634;512;165;677;165;
12.09.2021;Stadtratswahl;03403000;5;V - Süd;24;24;20268;3937;0;24205;11045;3473;254;10791;31302;5644;5287;10931;1464;607;674;971;205;232;186;69;215;91;438;135;2973;3082;6055;967;658;356;342;112;116;338;100;51;42;;;4704;2462;7166;853;344;475;122;82;110;165;311;;;1165;1041;2206;387;556;98;;;946;700;1646;305;64;65;72;66;92;36;;;937;637;1574;637;102;135;237;59;35;41;;;246;221;467;108;113;155;95;250;95;;;;;447;323;770;323;
12.09.2021;Stadtratswahl;03403000;6;VI - Südwest;21;21;15946;4922;0;20868;11815;4247;143;11672;34430;4905;4712;9617;1556;613;536;107;546;225;394;321;109;67;95;143;3135;3998;7133;1505;969;313;101;156;144;331;182;178;60;59;;7129;3875;11004;1010;996;468;297;562;184;138;220;;;1573;770;2343;174;294;180;122;;1048;726;1774;236;221;88;50;28;25;78;;;488;261;749;261;140;205;345;41;89;20;36;19;253;134;387;54;80;277;112;389;112;;;;;491;198;689;198;
