datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C1;C2;D;D1_1;D1_3;D1_4;D1_2_1;D1_2_2;D1_2_3;D1_2_4;D1_2_5;D1_2_6;D1_2_7;D1_2_8;D1_2_9;D1_2_10;D2_1;D2_3;D2_4;D2_2_1;D2_2_2;D2_2_3;D2_2_4;D2_2_5;D2_2_6;D2_2_7;D2_2_8;D2_2_9;D2_2_10;D2_2_11;D2_2_12;D3_1;D3_3;D3_4;D3_2_1;D3_2_2;D3_2_3;D3_2_4;D3_2_5;D3_2_6;D3_2_7;D3_2_8;D3_2_9;D3_2_10;D3_2_11;D4_1;D4_3;D4_4;D4_2_1;D4_2_2;D4_2_3;D4_2_4;D4_2_5;D4_2_6;D4_2_7;D4_2_8;D4_2_9;D4_2_10;D4_2_11;D4_2_12;D5_1;D5_3;D5_4;D5_2_1;D5_2_2;D5_2_3;D5_2_4;D5_2_5;D5_2_6;D5_2_7;D5_2_8;D6_1;D6_3;D6_4;D6_2_1;D6_2_2;D6_2_3;D7_1;D7_3;D7_4;D7_2_1;D7_2_2;D7_2_3;D8_1;D8_3;D8_4;D8_2_1;D8_2_2;D8_2_3;D9_1;D9_3;D9_4;D9_2_1;D9_2_2;D10_1;D10_3;D10_4;D10_2_1;D11_4;D12_1;D12_3;D12_4;D12_2_1;D13_1;D13_3;D13_4;D13_2_1;D13_2_2;D14_1;D14_3;D14_4;D14_2_1;D14_2_2;D14_2_3;D15_1;D15_3;D15_4;D15_2_1;D16_1;D16_3;D16_4;D16_2_1;D16_2_2;D16_2_3;D16_2_4
13.09.2026;Stadtratswahl;03403000;952;952 Briefwahl;1;1;;;;;344;344;4;340;1013;159;98;257;8;56;14;3;2;6;6;3;;;146;108;254;13;11;12;9;7;14;3;5;1;13;19;1;83;55;138;12;12;5;8;0;4;4;1;8;1;;69;32;101;2;4;8;3;6;8;1;;;;;;36;22;58;13;5;2;2;0;;;;70;18;88;15;3;;16;3;19;0;1;2;6;3;9;2;1;;16;3;19;3;0;1;5;6;5;;6;6;12;6;;;;;;17;9;26;7;1;1;9;4;13;4;10;3;13;0;3;0;0
13.09.2026;Stadtratswahl;03403000;953;953 Briefwahl;1;1;;;;;508;508;2;506;1512;217;212;429;14;153;4;8;5;13;11;4;;;233;173;406;49;19;29;7;16;6;2;14;2;11;9;9;168;110;278;42;10;5;3;2;1;11;4;18;14;;71;46;117;7;11;8;6;6;8;0;;;;;;38;13;51;10;1;1;1;0;;;;53;18;71;17;1;;29;10;39;1;2;7;11;4;15;1;3;;32;4;36;3;1;0;0;0;0;;16;4;20;4;;;;;;12;12;24;7;3;2;10;6;16;6;4;6;10;1;2;3;0
13.09.2026;Stadtratswahl;03403000;954;954 Briefwahl;1;1;;;;;622;622;3;619;1856;262;309;571;21;235;22;9;4;5;12;1;;;218;182;400;53;27;14;15;14;8;9;10;5;17;7;3;207;96;303;37;8;10;3;3;1;6;3;24;1;;130;68;198;6;12;12;5;16;16;1;;;;;;47;32;79;23;5;2;2;0;;;;90;23;113;19;4;;51;18;69;8;0;10;10;4;14;2;2;;7;9;16;5;4;0;0;0;0;;11;1;12;1;;;;;;49;1;50;0;0;1;5;9;14;9;12;5;17;2;1;1;1
13.09.2026;Stadtratswahl;03403000;955;955 Briefwahl;1;1;;;;;695;695;4;691;2073;280;243;523;18;120;38;14;12;14;25;2;;;344;243;587;70;37;26;13;15;15;9;15;5;24;8;6;181;148;329;55;33;7;3;5;2;12;5;26;0;;166;56;222;5;8;10;3;9;21;0;;;;;;51;25;76;22;1;0;0;2;;;;90;54;144;46;8;;36;3;39;2;0;1;10;5;15;2;3;;26;19;45;16;3;2;1;3;1;;10;4;14;4;;;;;;41;6;47;5;1;0;7;14;21;14;6;2;8;0;1;1;0
13.09.2026;Stadtratswahl;03403000;956;956 Briefwahl;1;1;;;;;772;772;7;765;2286;337;325;662;18;222;26;4;8;17;25;5;;;320;178;498;53;29;12;6;9;13;8;13;3;23;4;5;245;242;487;94;71;8;13;1;5;5;5;30;10;;113;44;157;5;7;8;4;10;10;0;;;;;;68;38;106;27;4;6;0;1;;;;115;36;151;24;12;;39;16;55;7;2;7;9;3;12;1;2;;28;5;33;2;3;0;0;0;0;;5;1;6;1;;;;;;58;2;60;0;2;0;31;9;40;9;13;6;19;0;6;0;0
13.09.2026;Stadtratswahl;03403000;960;960 Briefwahl;1;1;;;;;597;597;0;597;1788;360;174;534;64;21;24;5;27;4;10;6;4;9;221;174;395;30;31;5;26;15;6;4;3;30;5;12;7;149;185;334;48;31;17;39;1;14;13;5;0;9;8;87;35;122;8;10;6;2;8;1;;;;;;;89;20;109;4;6;2;2;6;;;;72;9;81;3;6;;43;12;55;7;3;2;6;3;9;3;;;6;0;6;0;;;;;;;12;3;15;3;6;2;8;2;0;23;42;65;38;2;2;8;34;42;34;9;4;13;2;1;0;1
13.09.2026;Stadtratswahl;03403000;961;961 Briefwahl;1;1;;;;;628;628;8;620;1860;376;160;536;61;8;16;7;27;7;10;11;7;6;214;152;366;31;19;8;10;17;11;13;12;8;3;14;6;150;218;368;78;73;9;28;1;14;6;2;3;4;0;126;58;184;12;11;17;9;2;7;;;;;;;48;38;86;7;7;6;17;1;;;;54;22;76;16;6;;60;15;75;9;3;3;5;6;11;6;;;24;1;25;1;;;;;;;2;0;2;0;4;1;5;1;0;32;36;68;35;0;1;11;34;45;34;7;6;13;1;1;2;2
13.09.2026;Stadtratswahl;03403000;962;962 Briefwahl;1;1;;;;;791;791;1;790;2347;497;193;690;69;29;27;13;18;4;5;10;7;11;347;178;525;29;16;23;22;10;6;2;7;15;18;14;16;231;169;400;62;32;8;16;0;13;21;6;1;1;9;188;53;241;18;14;7;9;3;2;;;;;;;88;48;136;7;9;9;5;18;;;;82;9;91;5;4;;64;12;76;6;2;4;4;5;9;5;;;17;0;17;0;;;;;;;20;5;25;5;14;1;15;1;0;33;33;66;22;4;7;16;17;33;17;13;10;23;3;2;1;4
13.09.2026;Stadtratswahl;03403000;963;963 Briefwahl;1;1;;;;;508;508;0;508;1506;295;171;466;62;13;23;12;17;4;13;13;8;6;183;101;284;30;5;8;15;16;2;2;5;11;1;2;4;119;154;273;67;27;20;16;0;15;3;5;0;0;1;102;43;145;18;11;10;3;1;0;;;;;;;32;28;60;9;6;1;6;6;;;;64;7;71;2;5;;49;14;63;6;3;5;10;2;12;2;;;9;0;9;0;;;;;;;7;2;9;2;6;4;10;3;1;22;38;60;29;1;8;15;20;35;20;5;4;9;0;0;1;3
13.09.2026;Stadtratswahl;03403000;964;964 Briefwahl;1;1;;;;;671;671;2;669;2000;476;199;675;71;20;33;20;14;7;7;7;15;5;241;129;370;36;13;9;16;9;10;6;3;13;2;3;9;134;153;287;50;41;10;20;2;13;7;5;2;1;2;205;64;269;19;22;9;5;5;4;;;;;;;53;18;71;7;1;4;3;3;;;;42;10;52;8;2;;85;23;108;14;6;3;7;0;7;0;;;29;3;32;3;;;;;;;9;1;10;1;10;1;11;1;0;44;14;58;11;0;3;20;18;38;18;9;3;12;2;0;0;1
13.09.2026;Stadtratswahl;03403000;965;965 Briefwahl;1;1;;;;;599;599;2;597;1786;410;139;549;56;13;17;6;16;4;7;6;8;6;209;151;360;35;18;10;13;15;4;4;5;20;5;8;14;131;172;303;65;25;15;23;0;15;7;16;0;2;4;160;62;222;20;16;16;1;5;4;;;;;;;42;30;72;9;4;5;4;8;;;;34;14;48;4;10;;59;17;76;3;4;10;9;6;15;6;;;8;6;14;6;;;;;;;5;5;10;5;15;3;18;2;1;24;25;49;23;0;2;17;29;46;29;4;0;4;0;0;0;0
13.09.2026;Stadtratswahl;03403000;966;966 Briefwahl;1;1;;;;;671;671;9;662;1985;478;181;659;84;19;13;8;19;5;7;10;10;6;261;134;395;26;10;8;13;22;8;11;2;13;8;2;11;176;157;333;47;31;11;41;1;5;5;2;1;1;12;190;42;232;11;12;10;5;3;1;;;;;;;79;18;97;2;5;5;0;6;;;;55;8;63;1;7;;79;22;101;8;8;6;8;2;10;2;;;8;0;8;0;;;;;;;8;2;10;2;12;2;14;1;1;9;20;29;19;0;1;11;16;27;16;6;1;7;0;0;0;1
