datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C1;C2;D;D1_1;D1_3;D1_4;D1_2_1;D1_2_2;D1_2_3;D1_2_4;D1_2_5;D1_2_6;D1_2_7;D1_2_8;D1_2_9;D1_2_10;D2_1;D2_3;D2_4;D2_2_1;D2_2_2;D2_2_3;D2_2_4;D2_2_5;D2_2_6;D2_2_7;D2_2_8;D2_2_9;D2_2_10;D2_2_11;D2_2_12;D3_1;D3_3;D3_4;D3_2_1;D3_2_2;D3_2_3;D3_2_4;D3_2_5;D3_2_6;D3_2_7;D3_2_8;D3_2_9;D3_2_10;D3_2_11;D4_1;D4_3;D4_4;D4_2_1;D4_2_2;D4_2_3;D4_2_4;D4_2_5;D4_2_6;D4_2_7;D4_2_8;D4_2_9;D4_2_10;D4_2_11;D4_2_12;D5_1;D5_3;D5_4;D5_2_1;D5_2_2;D5_2_3;D5_2_4;D5_2_5;D5_2_6;D5_2_7;D5_2_8;D6_1;D6_3;D6_4;D6_2_1;D6_2_2;D6_2_3;D7_1;D7_3;D7_4;D7_2_1;D7_2_2;D7_2_3;D8_1;D8_3;D8_4;D8_2_1;D8_2_2;D8_2_3;D9_1;D9_3;D9_4;D9_2_1;D9_2_2;D10_1;D10_3;D10_4;D10_2_1;D11_4;D12_1;D12_3;D12_4;D12_2_1;D13_1;D13_3;D13_4;D13_2_1;D13_2_2;D14_1;D14_3;D14_4;D14_2_1;D14_2_2;D14_2_3;D15_1;D15_3;D15_4;D15_2_1;D16_1;D16_3;D16_4;D16_2_1;D16_2_2;D16_2_3;D16_2_4
13.09.2026;Stadtratswahl;03403000;;Wahlbereich 1;22;22;16729;5089;0;21818;14289;4688;111;14178;42089;7775;4499;12274;1289;529;346;189;577;531;870;168;;;4069;4544;8613;1680;912;397;276;738;94;90;57;53;104;68;75;2321;1739;4060;609;180;294;137;42;117;131;39;63;57;70;4941;2252;7193;737;499;194;106;145;145;96;173;157;;;;761;510;1271;118;174;50;123;31;14;;;1861;982;2843;404;578;;1530;866;2396;336;530;;277;243;520;156;61;26;413;162;575;162;;82;53;135;53;;288;137;425;137;151;66;217;66;;598;249;847;125;90;34;279;203;482;203;143;95;238;44;14;18;19
13.09.2026;Stadtratswahl;03403000;;Wahlbereich 2;21;21;15715;4951;0;20666;13406;4448;74;13332;39587;6443;3410;9853;1223;316;225;164;154;637;262;62;233;134;3465;5738;9203;4028;611;272;123;66;50;211;97;25;60;149;46;2261;2638;4899;318;1325;189;107;54;40;30;39;75;114;347;3945;2509;6454;1379;299;173;150;246;89;173;;;;;;1128;764;1892;300;41;162;14;53;108;35;51;1791;776;2567;435;341;;1148;678;1826;347;331;;250;170;420;65;68;37;371;341;712;249;92;44;29;73;29;;194;127;321;127;88;30;118;30;;487;171;658;109;62;;287;106;393;106;133;65;198;23;10;24;8
13.09.2026;Stadtratswahl;03403000;;Wahlbereich 3;21;21;16867;5346;0;22213;14481;4802;139;14342;42425;8007;3873;11880;1138;690;300;493;447;144;182;148;162;169;4818;4493;9311;1172;739;996;224;269;133;205;64;121;156;210;204;3036;2258;5294;640;287;438;208;78;120;103;258;33;55;38;4312;1625;5937;308;324;294;153;74;52;49;89;18;73;114;77;860;494;1354;141;117;166;70;;;;;1942;923;2865;629;294;;1499;568;2067;283;285;;276;152;428;95;57;;487;156;643;156;;;;;;;240;84;324;84;178;68;246;51;17;655;580;1235;398;123;59;313;185;498;185;196;147;343;76;35;19;17
13.09.2026;Stadtratswahl;03403000;;Wahlbereich 4;24;24;19727;5643;0;25370;16310;5091;167;16143;47693;6739;3281;10020;827;353;671;271;184;376;174;119;264;42;6475;5880;12355;2198;998;491;409;270;580;155;139;160;221;152;107;4400;3757;8157;1534;701;446;327;223;112;239;118;57;;;2915;1433;4348;298;643;220;138;134;;;;;;;;1269;985;2254;534;93;91;102;89;76;;;2763;2230;4993;1670;309;251;973;430;1403;430;;;301;143;444;84;59;;402;214;616;214;;136;69;205;69;124;277;119;396;119;101;46;147;46;;707;456;1163;136;153;167;338;314;652;314;267;149;416;51;65;22;11
13.09.2026;Stadtratswahl;03403000;;Wahlbereich 5;24;24;19849;4495;0;24344;13804;3913;204;13600;40207;4495;3539;8034;485;1789;359;162;156;195;309;84;;;5361;4718;10079;1542;689;532;296;232;325;226;186;143;285;160;102;3310;2797;6107;979;519;212;110;106;78;134;70;481;108;;2618;1426;4044;224;276;239;171;231;241;44;;;;;;826;588;1414;414;90;31;29;24;;;;3787;2277;6064;1698;579;;750;309;1059;112;73;124;235;150;385;81;69;;610;353;963;252;101;74;105;179;105;;226;110;336;110;;;;;;515;195;710;99;64;32;324;257;581;257;163;89;252;28;35;12;14
13.09.2026;Stadtratswahl;03403000;;Wahlbereich 6;21;21;16168;4934;0;21102;13761;4465;140;13621;40399;7303;3498;10801;1392;449;421;201;352;103;167;154;148;111;5081;3915;8996;1009;437;324;416;333;140;145;145;348;249;157;212;2775;3316;6091;1304;692;240;465;37;195;119;79;42;42;101;3371;1403;4774;440;337;244;178;102;102;;;;;;;1014;544;1558;150;102;97;85;110;;;;2021;901;2922;570;331;;1186;409;1595;214;111;84;246;94;340;94;;;505;148;653;148;;;;;;;214;82;296;82;201;52;253;36;16;463;565;1028;471;41;53;248;605;853;605;150;89;239;33;21;10;25
